"Player",1983,1984,1986,1987,1988,1989,1991,1993,1995,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"Tony Parker",0,0,0,0,0,0,0,0,0,0,0,155,507,691,1087,1361,1776,2157,2300,2473,2591,2873,3305,3705,3781,3885,4012,4045,4045,4045,4045,4045,4045,4045,4045,4045
"Rudy Gobert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,249,305,423,585,657,732,913,1031,1117
"Boris Diaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,440,513,513,543,543,630,695,906,987,1034,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097
"Nicolas Batum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,61,109,109,109,276,347,404,404,404,404,404,557,557,579,617,656,656
"Joakim Noah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,145,284,329,458,510,579,579,579,579,579,579,579,579,579,579,579,579
"Mickael Pietrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,318,436,436,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
"Evan Fournier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,81,145,222,222,222,222,222,222
"Ian Mahinmi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,49,78,115,115,172,186,216,216,216,216,216,216,216,216,216
"Victor Wembanyama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
"Ronny Turiaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,66,66,66,89,112,128,128,128,128,128,128,128,128,128,128,128,128,128,128
"Timothe Luwawu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,72,77,77,77,77,77
"Tariq Abdul-Wahad",0,0,0,0,0,0,0,0,0,43,43,43,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
"Kevin Seraphin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,62,62,62,62,62,62,62,62,62,62
"Johan Petro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,22,22,51,51,51,51,51,51,51,51,51,51,51,51,51,51
"Frank Ntilikina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23
"Jerome Moiso",0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"Rodrigue Beaubois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"Joan Beringer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Joffrey Lauvergne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,16,16,16,16,16,16,16,16
"Ousmane Dieng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,16
"Pacome Dadiet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
"Jaylen Hoard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14
"Guerschon Yabusele",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,12,12,12,12,12,12
"Sidy Cissoko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Zaccharie Risacher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Alexis Ajinca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8
"Mohamed Diawara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Pape Sy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Yakhouba Diawara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Axel Toupane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
"Michael Stewart",0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Nando De Colo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Noah Penda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vincent Poirier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0