"Player",1948,1949,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1972,1973,1974,1975,1976,1977,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1995,2002,2003,2004,2005,2008,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"Larry Bird",,,,,,,,,,,,,,,,,,,,,,,,,,,,192,565,779,902,1534,2054,2520,3142,3559,3559,3681,3852,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897
"John Havlicek",,,,,,,,,,,,,,,130,287,509,910,1157,1650,2108,2409,2694,3181,3413,3611,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776
"Kevin McHale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,339,417,757,1222,1670,2114,2546,2603,2713,2941,3106,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182
"Jayson Tatum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,488,925,1078,1693,2236,2711,2936,3076
"Sam Jones",,,,,,,,,,31,144,251,382,670,979,1211,1554,1976,2216,2606,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909
"Paul Pierce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,665,748,908,1419,1713,2164,2351,2728,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843,2843
"Robert Parish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,510,613,955,1314,1584,1961,2211,2258,2337,2495,2615,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683,2683
"Bill Russell",,,,,,,,,139,275,446,687,878,1192,1456,1587,1785,2109,2204,2478,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673
"Jaylen Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,409,534,904,904,1458,1911,2365,2608,2788
"Tommy Heinsohn",,,,,,,,,229,421,640,924,1121,1411,1732,1906,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058
"Bob Cousy",,,28,121,274,400,552,631,833,1031,1245,1444,1611,1835,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"Dennis Johnson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,729,1020,1455,1725,1733,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
"Jo Jo White",,,,,,,,,,,,,,,,,,,,,,258,577,875,1102,1510,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
"Dave Cowens",,,,,,,,,,,,,,,,,,,,,,170,455,824,1049,1427,1576,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
"Don Nelson",,,,,,,,,,,,,,,,,,142,206,443,667,812,955,1160,1329,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493
"Kevin Garnett",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,530,875,1009,1393,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
"Bill Sharman",,,,15,85,198,343,395,606,838,1059,1278,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
"Ray Allen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,661,1048,1218,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410
"Marcus Smart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,111,266,413,420,666,755,1079,1377,1377,1377,1377
"Al Horford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,570,695,695,695,972,1105,1279,1367,1367
"Rajon Rondo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,502,881,1007,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336
"Frank Ramsey",,,,,,,75,75,197,399,654,871,1042,1161,1269,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331
"Danny Ainge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,116,207,438,718,1013,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211
"Satch Sanders",,,,,,,,,,,,,89,230,358,449,608,838,882,998,1085,1132,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142
"Cedric Maxwell",,,,,,,,,,,,,,,,,,,,,,,,,,,,164,438,612,702,976,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052
"Derrick White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,463,781,988,1006
"Larry Siegfried",,,,,,,,,,,,,,,,7,91,315,426,659,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858
"Bailey Howell",,,,,,,,,,,,,,,,,,,138,482,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752
"Reggie Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,90,191,437,717,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734,734
"K.C. Jones",,,,,,,,,,,15,86,111,237,296,359,480,609,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668,668
"Antoine Walker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,527,527,627,627,627,627,627,627,627,627,627,627,627,627,627,627,627,627,627,627,627
"Gerald Henderson Sr",,,,,,,,,,,,,,,,,,,,,,,,,,,,42,134,234,310,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597
"Isaiah Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,215,564,564,564,564,564,564,564,564,564,564
"Paul Silas",,,,,,,,,,,,,,,,,,,,,,,125,269,369,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563
"Tiny Archibald",,,,,,,,,,,,,,,,,,,,,,,,,,,,128,394,479,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546
"Terry Rozier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,120,433,491,491,491,491,491,491,491,491
"Don Chaney",,,,,,,,,,,,,,,,,,,,,5,102,192,363,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482
"Glen Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,260,435,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479
"Avery Bradley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,107,156,174,475,475,475,475,475,475,475,475,475,475
"Kendrick Perkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,173,339,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
"Payton Pritchard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,131,163,285,416,432
"Charlie Scott",,,,,,,,,,,,,,,,,,,,,,,,,,277,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
"Ed Macauley",,,44,114,215,240,367,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
"Kemba Walker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,372,372,372,372,372,372
"Marcus Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,359,359,359,359,359,359,359,359
"Robert Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,52,71,202,355,355,355,355
"Grant Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,64,271,347,347,347,347
"Scott Wedman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,118,300,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
"Jae Crowder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,100,345,345,345,345,345,345,345,345,345,345
"M.L. Carr",,,,,,,,,,,,,,,,,,,,,,,,,,,,82,184,273,279,317,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
"Jrue Holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,326,326
"Jim Loscutoff",,,,,,,,29,109,109,198,198,235,301,316,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
"Dee Brown (1968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,182,227,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
"Jack Nichols",,,,,,100,173,214,249,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
"Steve Kuberski",,,,,,,,,,,,,,,,,,,,,,128,173,188,188,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
"Chris Ford",,,,,,,,,,,,,,,,,,,,,,,,,,,,82,236,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283
"Brandon Bass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,261,281,281,281,281,281,281,281,281,281,281,281,281
"Kevin Gamble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,80,216,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
"Paul Westphal",,,,,,,,,,,,,,,,,,,,,,,43,146,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
"Daniel Theis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,164,164,233,233,233,233,233
"Malcolm Brogdon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,226,226,226
"Tony Delk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
"Eric Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
"Willie Naulls",,,,,,,,,,,,,,,,91,179,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
"Rick Robey",,,,,,,,,,,,,,,,,,,,,,,,,,,,55,141,196,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"Emmette Bryant",,,,,,,,,,,,,,,,,,,,,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"Kyrie Irving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,192,192,192,192,192,192,192
"Kenny Anderson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
"Jeff Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,188,188,188,188,188,188,188,188,188,188,188,188,188
"Kelly Olynyk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20,185,185,185,185,185,185,185,185,185,185
"Sam Hauser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,138,166,184
"James Posey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
"Brian Shaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"Ed Pinckney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,76,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
"Kristaps Porzingis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,171,171
"Walter McCarty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,143,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
"Tony Allen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,39,48,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
