Player,1993,1995,1997,1998,2000,2001,2002,2010,2014,2016
David Wesley,,,,90,134,304,446,446,446,446
Baron Davis,,,,,23,201,404,404,404,404
Alonzo Mourning,214,302,302,302,302,302,302,302,302,302
Elden Campbell,,,,,57,178,300,300,300,300
Glen Rice,,,83,288,288,288,288,288,288,288
Jamal Mashburn,,,,,,249,249,249,249,249
Kemba Walker,,,,,,,,,78,237
Anthony Mason,,,39,178,228,228,228,228,228,228
Dell Curry,99,150,164,216,216,216,216,216,216,216
Larry Johnson (1954),178,178,178,178,178,178,178,178,178,178
PJ Brown,,,,,,80,172,172,172,172
Vlade Divac,,,54,158,158,158,158,158,158,158
Kendall Gill,156,156,156,156,156,156,156,156,156,156
Muggsy Bogues,88,122,154,154,154,154,154,154,154,154
Al Jefferson,,,,,,,,,56,149
Jamaal Magloire,,,,,,39,137,137,137,137
Derrick Coleman,,,,,81,108,108,108,108,108
Jeremy Lin,,,,,,,,,,87
Larry Johnson (1969),,83,83,83,83,83,83,83,83,83
Eddie Robinson,,,,,12,81,81,81,81,81
Stephen Jackson,,,,,,,,72,72,72
Gerald Wallace,,,,,,,,70,70,70
Lee Nailon,,,,,,,69,69,69,69
George Lynch,,,,,,,69,69,69,69
Kenny Gattison,53,68,68,68,68,68,68,68,68,68
Johnny Newman,68,68,68,68,68,68,68,68,68,68
Eddie Jones,,,,,68,68,68,68,68,68
Cody Zeller,,,,,,,,,8,67
Courtney Lee,,,,,,,,,,60
Hersey Hawkins,,45,45,45,45,57,57,57,57,57
Bobby Phills,,,,57,57,57,57,57,57,57
Nicolas Batum,,,,,,,,,,57
David Wingate,19,51,51,51,51,51,51,51,51,51
Frank Kaminsky,,,,,,,,,,50
Stacey Augmon,,,,,,,48,48,48,48
Raymond Felton,,,,,,,,47,47,47
Josh McRoberts,,,,,,,,,46,46
Gary Neal,,,,,,,,,45,45
Gerald Henderson,,,,,,,,,39,39
Chris Douglas-Roberts,,,,,,,,,38,38
BJ Armstrong,,,,37,37,37,37,37,37,37
Marvin Williams,,,,,,,,,,36
Tyrus Thomas,,,,,,,,35,35,35
Michael Kidd-Gilchrist,,,,,,,,,34,34
Tony Delk,,,31,31,31,31,31,31,31,31
J.R. Reid,,,,30,30,30,30,30,30,30
Brad Miller,,,,,30,30,30,30,30,30
Tony Bennett,30,30,30,30,30,30,30,30,30,30
Boris Diaw,,,,,,,,30,30,30
Nazr Mohammed,,,,,,,,24,24,24
Larry Hughes,,,,,,,,24,24,24
Ricky Pierce,,,23,23,23,23,23,23,23,23
Spencer Hawes,,,,,,,,,,18
Robert Traylor,,,,,,,18,18,18,18
DJ Augustin,,,,,,,,17,17,17
Corey Beck,,,,15,15,15,15,15,15,15
Sidney Green,15,15,15,15,15,15,15,15,15,15
Robert Parish,,14,14,14,14,14,14,14,14,14
Tyson Chandler,,,,,,,,14,14,14
Jeremy Lamb,,,,,,,,,,11
Luke Ridnour,,,,,,,,,10,10
Donald Royal,,,0,9,9,9,9,9,9,9
Bismack Biyombo,,,,,,,,,8,8
Matt Geiger,,,6,8,8,8,8,8,8,8
Theo Ratliff,,,,,,,,7,7,7
Anthony Tolliver,,,,,,,,,6,6
Scott Burrell,,,,,,5,5,5,5,5
Travis Williams,,,,5,5,5,5,5,5,5
Darrin Hancock,,4,4,4,4,4,4,4,4,4
Michael Adams,,4,4,4,4,4,4,4,4,4
Malik Rose,,,4,4,4,4,4,4,4,4
Otis Thorpe,,,,,,4,4,4,4,4
Eldridge Recasner,,,,,,3,3,3,3,3
Kirk Haston,,,,,,,2,2,2,2
Bryce Drew,,,,,,,2,2,2,2
Derrick Brown,,,,,,,,2,2,2
Troy Daniels,,,,,,,,,,2
Mike Gminski,2,2,2,2,2,2,2,2,2,2
Tony Smith,,,1,1,1,1,1,1,1,1
Aaron Harrison,,,,,,,,,,0
DJ White,,,,,,,,,0,0
Kevin Lynch,0,0,0,0,0,0,0,0,0,0
Joe Wolf,,0,0,0,0,0,0,0,0,0
Jorge Gutierrez,,,,,,,,,,0
Greg Sutton,,0,0,0,0,0,0,0,0,0
Jannero Pargo,,,,,,,,,0,0
Stephen Graham,,,,,,,,0,0,0
Tyler Hansbrough,,,,,,,,,,0